### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 10, NVARIETYHD = 5, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.32, SELECTIONSTRENGTH = 10, ALPHA = 0.6, NHOUSEHOLD = 49, PROBABILITYNEWVAR = 0.06, PERCENTAGENEWRANDVAR = 0.1, CROSSINGDEVIATION = 0.005, DEATHPROBABILITY = 0.2, MAXTIME = 3000, TIMEINTERVAL = 30, NRUN = 1 ###

value; productivity; quality; param
0.325; 0; 0.874635; 36
0.375; 0.0832986; 0.291545; 36
0.425; 0.291545; 0.541441; 36
0.475; 0.874635; 20.5747; 36
0.525; 0; 40.1912; 36
0.575; 44.8976; 23.5734; 36
0.625; 53.8523; 13.9525; 36
0.675; 0; 0; 36
0.725; 0; 0; 36
0.775; 0; 0; 36
0.825; 0; 0; 36
0.875; 0; 0; 36
0.925; 0; 0; 36
0.975; 0; 0; 36
0.025; 0; 0; 37
0.075; 0; 0; 37
0.125; 0; 0; 37
0.175; 0; 0; 37
0.225; 0; 0; 37
0.275; 0; 0; 37
0.325; 0; 0.0416493; 37
0.375; 0; 0; 37
0.425; 0.0832986; 12.9946; 37
0.475; 0; 31.7782; 37
0.525; 58.8505; 15.4935; 37
0.575; 41.0659; 26.1556; 37
0.625; 0; 13.5361; 37
0.675; 0; 0; 37
0.725; 0; 0; 37
0.775; 0; 0; 37
0.825; 0; 0; 37
0.875; 0; 0; 37
0.925; 0; 0; 37
0.975; 0; 0; 37
0.025; 0; 0; 38
0.075; 0; 0; 38
0.125; 0; 0; 38
0.175; 0; 0; 38
0.225; 0; 0; 38
0.275; 0; 0; 38
0.325; 0; 0; 38
0.375; 0.0832986; 0; 38
0.425; 0; 9.07957; 38
0.475; 98.0864; 43.1067; 38
0.525; 1.83257; 33.9856; 38
0.575; 0; 8.32988; 38
0.625; 0; 5.49772; 38
0.675; 0; 0; 38
0.725; 0; 0; 38
0.775; 0; 0; 38
0.825; 0; 0; 38
0.875; 0; 0; 38
0.925; 0; 0; 38
0.975; 0; 0; 38
0.025; 0; 0; 39
0.075; 0; 0; 39
0.125; 0; 0; 39
0.175; 0; 0; 39
0.225; 0.0416493; 0; 39
0.275; 0; 0; 39
0.325; 0.0416493; 0; 39
0.375; 0.166597; 1.20783; 39
0.425; 0.0416493; 19.5335; 39
0.475; 23.8233; 24.8229; 39
0.525; 51.3532; 48.8958; 39
0.575; 13.2029; 4.66473; 39
0.625; 11.3286; 0; 39
0.675; 0; 0.791337; 39
0.725; 0; 0.0832986; 39
0.775; 0; 0; 39
0.825; 0; 0; 39
0.875; 0; 0; 39
0.925; 0; 0; 39
0.975; 0; 0; 39
0.025; 0; 0; 40
0.075; 0; 0.0832986; 40
0.125; 0; 0; 40
0.175; 0.0832986; 0; 40
0.225; 0; 0; 40
0.275; 0.0832986; 0; 40
0.325; 0; 0; 40
0.375; 0; 6.20576; 40
0.425; 0; 7.12205; 40
0.475; 11.4536; 21.7409; 40
0.525; 88.3816; 39.8997; 40
0.575; 0; 24.9478; 40
0.625; 0; 0; 40
0.675; 0; 0; 40
0.725; 0; 0; 40
0.775; 0; 0; 40
0.825; 0; 0; 40
0.875; 0; 0; 40
0.925; 0; 0; 40
0.975; 0; 0; 40
0.025; 0; 0; 41
0.075; 0; 0; 41
0.125; 0; 0; 41
0.175; 0; 0; 41
0.225; 0; 0; 41
