Nvariety;Reference;Data;Specie
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
4;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
3;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
