### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 500, TIMEINTERVAL = 5, NRUN = 500 ###

DU;Type;difference;Time
16;1;0.212368;10
2;0;-0.00186872;10
2;1;0.215761;10
26;0;0.0400929;10
26;1;0.214541;10
47;0;0.00797158;10
47;1;0.188737;10
22;0;0.0123055;10
22;1;0.177494;10
7;0;0.00582683;10
7;1;0.224433;10
48;0;0.0106748;10
48;1;0.210643;10
18;0;0.00299656;10
18;1;0.200489;10
13;0;0.0182416;10
13;1;0.216834;10
10;0;0.00976127;10
10;1;0.191243;10
11;0;0.00725192;10
11;1;0.181091;10
39;0;0.0184111;10
39;1;0.164323;10
33;0;0.00329781;10
33;1;0.204453;10
1;0;0.0226012;10
1;1;0.24912;10
24;0;0.00612086;10
24;1;0.19339;10
14;0;-0.0182416;10
14;1;0.157331;10
46;0;0.0140297;10
46;1;0.171148;10
31;0;0.0159498;10
31;1;0.169642;10
41;0;-0.00703204;10
41;1;0.180928;10
42;0;0.00703204;10
42;1;0.209698;10
0;0;0.0181114;10
0;1;0.237431;10
37;0;-0.00879616;10
37;1;0.219781;10
20;0;-0.00299656;10
20;1;0.213742;10
25;0;0.0205925;10
25;1;0.251457;10
4;0;0.0019663;10
4;1;0.221126;10
45;0;-0.00652355;10
45;1;0.167602;10
23;0;-0.00589901;10
23;1;0.175588;10
6;0;-0.0019663;10
6;1;0.212108;10
44;0;0.00652355;10
44;1;0.16237;10
21;0;0.0189008;10
21;1;0.134206;10
17;0;0.00777847;10
17;1;0.229873;10
30;0;-3.27826e-06;10
30;1;0.1683;10
19;0;0.0132942;10
19;1;0.214902;10
27;0;-0.0172207;10
27;1;0.19089;10
9;0;0.00470841;10
9;1;0.180365;10
5;0;0.00607759;10
5;1;0.181091;10
40;0;0.0161579;10
40;1;0.171113;10
38;0;0.0365869;10
